image,text
/content/data/3image-781.jpg,a mosque with a full moon in the background
/content/data/3image-782.jpg,a mosque at night with a full moon and stars
/content/data/3image-783.jpg,a large building with a tower and a clock on top of it
/content/data/3image-784.jpg,arafed view of a large white building with a lot of domes
/content/data/3image-785.jpg,a view of a large white building with a dome on top of it
/content/data/3image-786.jpg,a large white mosque with a blue dome and a red carpet
/content/data/3image-787.jpg,a close up of a large building with a clock tower in the background
/content/data/3image-788.jpg,a white mosque with a star and moon in the sky
/content/data/3image-789.jpg,a large number of lanterns hanging from the ceiling of a mosque
/content/data/3image-790.jpg,a large white and blue mosque with a green dome
/content/data/3image-791.jpg,arafed view of a mosque with a beautiful sunset in the background
/content/data/3image-792.jpg,a mosque with a crescent and stars in the sky
/content/data/3image-793.jpg,arafed view of a mosque with a sunset in the background
/content/data/3image-794.jpg,arafed view of a mosque with a full moon in the background
/content/data/3image-795.jpg,arafed view of a mosque with a red dome and a golden sky
/content/data/3image-796.jpg,a group of lanterns with candles on a table in front of a city
/content/data/3image-797.jpg,arafed view of a large white building with a golden dome
/content/data/3image-798.jpg,a close up of a building with a lot of lights on it
/content/data/3image-799.jpg,a view of a large building with a blue dome in the middle of a city
/content/data/3image-800.jpg,a large building surrounded by clouds with a green dome
/content/data/3image-801.jpg,a large building with a tower and a staircase in front of it
/content/data/3image-802.jpg,a close up of a room with a large window and a rug
/content/data/3image-803.jpg,a view of a mosque with a moon in the sky
/content/data/3image-804.jpg,a view of a large blue mosque with a clock tower
/content/data/3image-805.jpg,a view of a large building with a lot of windows and a moon in the sky
/content/data/3image-806.jpg,arafed view of a mosque lit up at night with a reflection in the water
/content/data/3image-807.jpg,arafed view of a mosque with a beautiful sunset in the background
/content/data/3image-808.jpg,a drawing of a large building with a blue dome and a clock on top
/content/data/3image-809.jpg,a large building with a dome and a clock on top of it
/content/data/3image-810.jpg,arafed view of a large white building with a fountain in front of it
/content/data/3image-811.jpg,a close up of a large building with a clock tower
/content/data/3image-812.jpg,a large building with a blue dome and a crescent in the sky
/content/data/3image-813.jpg,a close up of a carpeted floor with a light shining through it
/content/data/3image-814.jpg,a large white mosque with a fountain in front of it
/content/data/3image-815.jpg,a close up of a model of a mosque on a lake
/content/data/3image-816.jpg,a mosque with a full moon in the sky
/content/data/3image-817.jpg,a large white mosque with a clock tower in the middle of it
/content/data/3image-818.jpg,a close up of a large white building with a clock tower
/content/data/3image-819.jpg,a close up of a building with a clock on it
/content/data/3image-820.jpg,a close up of a large building with a clock on top of it
/content/data/3image-821.jpg,a close up of a desert with a building and a bird flying in the sky
/content/data/3image-822.jpg,a mosque at night with the moon in the sky
/content/data/3image-823.jpg,a large white mosque with a reflection in the water
/content/data/3image-824.jpg,a painting of a mosque in the middle of a desert
/content/data/3image-825.jpg,a close up of a large building with a reflection in the water
/content/data/3image-826.jpg,araffes in the foreground of a mosque at sunset
/content/data/3image-827.jpg,a picture taken from a computer of a mosque at night
/content/data/3image-828.jpg,arafed view of a mosque with a beautiful sunset in the background
/content/data/3image-829.jpg,a large white mosque with two towers and a fountain in front of it
/content/data/3image-830.jpg,a close up of a large white building with a lot of lights
/content/data/3image-831.jpg,a mosque in the middle of a lake at night
/content/data/3image-832.jpg,a large white mosque with a large dome and many minas
/content/data/3image-833.jpg,a blue mosque with a crescent and clouds in the sky
/content/data/3image-834.jpg,a mosque in the middle of a night sky with a full moon
/content/data/3image-835.jpg,a cartoon illustration of a mosque with a moon and a crescent
/content/data/3image-836.jpg,arafed view of a mosque with a sunset in the background
/content/data/3image-837.jpg,a large white mosque with a blue dome and a clock tower
/content/data/3image-838.jpg,a view of a large building surrounded by clouds and planets
/content/data/3image-839.jpg,a cartoon illustration of a mosque in the middle of a lake
/content/data/3image-840.jpg,a beautiful mosque with a bright light coming through the door
/content/data/3image-841.jpg,a close up of a large building with a clock on top of it
/content/data/3image-842.jpg,a view of a large white building with a dome and many pillars
/content/data/3image-843.jpg,a beautiful mosque at night with stars and milky in the sky
/content/data/3image-844.jpg,a close up of a large blue and white building with a large window
/content/data/3image-845.jpg,arafed view of a large white building with a fountain in the middle
/content/data/3image-846.jpg,a mosque with a sky full of stars in the background
/content/data/3image-847.jpg,a large white building with many domes and a blue sky
/content/data/3image-848.jpg,a view of a large white building with a tall tower
/content/data/3image-849.jpg,arafed view of a dome on a building with a clock on it
/content/data/3image-850.jpg,a painting of a mosque with a full moon in the background
/content/data/3image-851.jpg,a large white mosque with a lot of windows and a sky background
/content/data/3image-852.jpg,a painting of a beautiful mosque with a beautiful sky background
/content/data/3image-853.jpg,a large building with a lot of windows and lights on it
/content/data/3image-854.jpg,a beautiful mosque with a blue background and stars
/content/data/3image-855.jpg,a view of a large blue mosque with a clock tower
/content/data/3image-856.jpg,a person sitting in front of a mosque at night
/content/data/3image-857.jpg,a view of the sun setting through arches of a mosque
/content/data/3image-858.jpg,arafed view of a snow covered dome of the rock in the middle of a snowy day
/content/data/3image-859.jpg,there is a picture of a room with a large painting on the wall
/content/data/3image-860.jpg,a painting of a large white building with a clock tower
/content/data/3image-861.jpg,a large white mosque with a lot of domes and a sky background
/content/data/3image-862.jpg,a large building in the middle of a desert with a dome on top
/content/data/3image-863.jpg,a painting of a mosque with a sky background
/content/data/3image-864.jpg,a large white mosque with a clock tower and a reflection in the water
/content/data/3image-865.jpg,a close up of a glass ball on a tiled floor
/content/data/3image-866.jpg,a beautiful mosque in the middle of a field with flowers
/content/data/3image-867.jpg,a sunset view of a mosque and palm trees in the foreground
/content/data/3image-868.jpg,a close up of a large building with a lot of domes
/content/data/3image-869.jpg,arafed view of a large white building with a reflection in the water
/content/data/3image-870.jpg,sunlight shining through a window in a large building with a marble floor
/content/data/3image-871.jpg,a mosque in the night with stars and a full moon
/content/data/3image-872.jpg,a close up of a large building with a clock tower
/content/data/3image-873.jpg,a large mosque with a reflection in the water
/content/data/3image-874.jpg,a close up of a mosque with a crescent and stars
/content/data/3image-875.jpg,arafed view of a mosque with a full moon in the background
/content/data/3image-876.jpg,a close up of a large white and gold building with lights
/content/data/3image-877.jpg,a large white building with many domes and trees in front of it
/content/data/3image-878.jpg,a large white mosque with a dome and a large white building
/content/data/3image-879.jpg,a view of a large archway with a wooden floor in a room
/content/data/3image-880.jpg,a large white mosque with a full moon in the sky
/content/data/3image-881.jpg,arafed view of a large white building with a dome and a reflection in the water
/content/data/3image-882.jpg,a close up of a large white and blue mosque with a sky background
/content/data/3image-883.jpg,a close up of a building with a sky background and a person walking in front of it
/content/data/3image-884.jpg,a large white building with green domes and a green dome
/content/data/3image-885.jpg,a large building with a lot of windows and a lot of lights
/content/data/3image-886.jpg,arafed view of a large white building with a pool in front of it
/content/data/3image-887.jpg,a drawing of a large building with a blue dome and a clock on top
/content/data/3image-888.jpg,a close up of a large building with a lot of lights on it
/content/data/3image-889.jpg,a view of a large building surrounded by clouds and a sun
/content/data/3image-890.jpg,arafed view of a mosque in the middle of a mountain range
